pre_seg_id,post_seg_id,ei_type,pre_struc_type,post_struc_type,pair_count,pre_region,pre_type,post_region,post_type
51755713123,42628292358,2,axon,dendrite,1,White matter,pure axon fragment,White matter,interneuron
6077200391,5829377683,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
77774242362,51236735444,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
3050982497,2265184554,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
31758081083,5089282144,1,axon,unknown,1,Layer 4,pure axon fragment,Layer 4,astrocyte
4142858791,3779892740,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
67685637988,4626036197,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
78338439970,5901709980,2,axon,dendrite,1,Layer 6,majority axon fragment,Layer 5,unclassified neuron
49979982875,5319174461,2,axon,dendrite,1,Layer 5,majority axon fragment,Layer 5,oligodendrocyte
50624062506,6340163853,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,pyramidal neuron
74046358834,2744112351,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
33157265292,5703880907,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
57321132074,3619704725,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
57555857903,3796202420,1,axon,dendrite,1,Layer 2,majority axon fragment,Layer 2,pyramidal neuron
33298268926,15480054062,2,axon,unknown,1,Layer 5,pure axon fragment,Layer 5,astrocyte
21861144044,3650308409,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
46138109395,28567646864,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
68530364160,50901583502,2,axon,dendrite,1,Layer 3,majority axon fragment,Layer 4,interneuron
64261221839,29309538825,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 4,interneuron
47670353645,3518665873,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
21512311418,3709473336,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
58545368021,40640716750,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,interneuron
39123498235,3778535716,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 4,interneuron
41653426657,5712963875,2,axon,dendrite,1,Layer 6,pure axon fragment,Layer 5,microglia/opc
38813897680,29977680734,2,axon,dendrite,1,Layer 5,majority axon fragment,Layer 5,spiny stellate neuron
40509701998,4320129291,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
5631168046,4961405848,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
48890588134,4854307497,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,unclassified neuron
65163037306,37897583611,1,axon,dendrite,1,Layer 5,pure axon fragment,Layer 4,pyramidal neuron
47625660041,3269018369,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
75545779498,4753822824,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
4031234408,3856591986,2,axon,dendrite,1,Layer 1,pure axon fragment,Layer 1,interneuron
14647052229,5243380626,2,axon,dendrite,1,White matter,pure axon fragment,White matter,pyramidal neuron
38950300349,3327452280,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
40705603396,5389711818,1,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,pyramidal neuron
99388613512,1913504984,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
47392904879,2803815532,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
72326988805,1827184566,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
76113991736,4290271436,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
84718317804,4159358243,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
29760809611,3004944809,1,axon,ais,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
56069286754,37916374620,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
5586387131,5266158555,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
58470129078,6136203117,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,interneuron
4810811540,4141223577,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
63171753098,27914265666,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
59229000667,41250206546,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
72284908060,37071152365,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,interneuron
16093368616,7082289534,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
4930189136,4740419111,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
